County,State(Code),Deaths,Population,Crude Rate Per 100000
Scott County, MN (27139),12,"143,680",Unreliable
Sherburne County, MN (27141),12,"93,528",Unreliable
Stearns County, MN (27145),20,"155,652",12.8
Washington County, MN (27163),27,"253,117",10.7
Wright County, MN (27171),18,"132,550",Unreliable
DeSoto County, MS (28033),24,"175,611",13.7
Harrison County, MS (28047),46,"203,234",22.6
Hinds County, MS (28049),26,"241,229",10.8
Jackson County, MS (28059),14,"141,241",Unreliable
Jones County, MS (28067),10,"67,953",Unreliable
Lamar County, MS (28073),10,"60,914",Unreliable
Madison County, MS (28089),15,"105,114",Unreliable
Rankin County, MS (28121),24,"150,228",16
Boone County, MO (29019),21,"176,594",11.9
Buchanan County, MO (29021),14,"88,938",Unreliable
Callaway County, MO (29027),12,"45,078",Unreliable
Camden County, MO (29029),10,"44,497",Unreliable
Cape Girardeau County, MO (29031),17,"78,913",Unreliable
Cass County, MO (29037),21,"102,845",20.4
Christian County, MO (29043),13,"84,401",Unreliable
Clay County, MO (29047),47,"239,085",19.7
Cole County, MO (29051),10,"76,631",Unreliable
Franklin County, MO (29071),29,"102,838",28.2
Greene County, MO (29077),54,"288,690",18.7
Jackson County, MO (29095),131,"691,801",18.9
Jasper County, MO (29097),31,"119,111",26
Jefferson County, MO (29099),48,"224,226",21.4
Johnson County, MO (29101),11,"53,942",Unreliable
Laclede County, MO (29105),10,"35,490",Unreliable
Lincoln County, MO (29113),17,"55,267",Unreliable
New Madrid County, MO (29143),10,"17,915",Unreliable
Newton County, MO (29145),16,"58,694",Unreliable
Platte County, MO (29165),20,"98,309",20.3
Pulaski County, MO (29169),15,"52,654",Unreliable
St. Charles County, MO (29183),65,"390,918",16.6
St. Francois County, MO (29187),11,"66,627",Unreliable
St. Louis County, MO (29189),133,"998,581",13.3
Scott County, MO (29201),13,"38,745",Unreliable
Stone County, MO (29209),19,"31,047",Unreliable
Taney County, MO (29213),15,"54,735",Unreliable
St. Louis city, MO (29510),38,"311,404",12.2
Cascade County, MT (30013),18,"81,755",Unreliable
Flathead County, MT (30029),25,"98,082",25.5
Gallatin County, MT (30031),27,"104,502",25.8
Lewis and Clark County, MT (30049),15,"67,282",Unreliable
Missoula County, MT (30063),33,"116,130",28.4
Ravalli County, MT (30081),12,"42,088",Unreliable
Silver Bow County, MT (30093),12,"34,553",Unreliable
Yellowstone County, MT (30111),40,"158,437",25.2
Douglas County, NE (31055),58,"554,995",10.5
Lancaster County, NE (31109),44,"309,637",14.2
Madison County, NE (31119),10,"35,015",Unreliable
Sarpy County, NE (31153),20,"179,023",11.2
Clark County, NV (32003),419,"2,155,664",19.4
Douglas County, NV (32005),10,"48,020",Unreliable
Elko County, NV (32007),14,"52,168",Unreliable
Humboldt County, NV (32013),10,"16,842",Unreliable
Lyon County, NV (32019),14,"53,179",Unreliable
Nye County, NV (32023),15,"43,423",Unreliable
Washoe County, NV (32031),126,"453,616",27.8
Carson City, NV (32510),18,"54,742",Unreliable
Belknap County, NH (33001),12,"60,779",Unreliable
Cheshire County, NH (33005),12,"75,774",Unreliable
Coos County, NH (33007),14,"32,039",Unreliable
Grafton County, NH (33009),18,"88,888",Unreliable
Hillsborough County, NH (33011),79,"407,761",19.4
Merrimack County, NH (33013),29,"148,582",19.5
Rockingham County, NH (33015),34,"303,251",11.2
Strafford County, NH (33017),23,"127,428",18
Sullivan County, NH (33019),16,"43,004",Unreliable
Atlantic County, NJ (34001),33,"270,991",12.2
Bergen County, NJ (34003),77,"939,151",8.2
Burlington County, NJ (34005),49,"449,284",10.9
Camden County, NJ (34007),49,"510,150",9.6
Essex County, NJ (34013),51,"796,914",6.4
Gloucester County, NJ (34015),28,"292,330",9.6
Hudson County, NJ (34017),37,"677,983",5.5
Hunterdon County, NJ (34019),18,"124,676",Unreliable
Mercer County, NJ (34021),21,"371,023",5.7
Middlesex County, NJ (34023),65,"837,073",7.8
Monmouth County, NJ (34025),51,"625,846",8.1
Morris County, NJ (34027),31,"498,423",6.2
Ocean County, NJ (34029),38,"592,497",6.4
Passaic County, NJ (34031),26,"507,945",5.1
Somerset County, NJ (34035),24,"333,751",7.2
Sussex County, NJ (34037),24,"142,522",16.8
Union County, NJ (34039),32,"555,630",5.8
Warren County, NJ (34041),15,"106,617",Unreliable
Bernalillo County, NM (35001),137,"676,953",20.2
Curry County, NM (35009),12,"50,280",Unreliable
Dona Ana County, NM (35013),34,"214,207",15.9
Eddy County, NM (35015),18,"57,621",Unreliable
Lea County, NM (35025),11,"69,749",Unreliable
Luna County, NM (35029),11,"24,450",Unreliable
McKinley County, NM (35031),18,"74,923",Unreliable
Otero County, NM (35035),21,"65,410",32.1
Rio Arriba County, NM (35039),11,"40,040",Unreliable
Sandoval County, NM (35043),21,"142,025",14.8
San Juan County, NM (35045),32,"115,079",27.8
Santa Fe County, NM (35049),48,"148,651",32.3
Taos County, NM (35055),13,"33,065",Unreliable
Valencia County, NM (35061),16,"75,626",Unreliable
Albany County, NY (36001),24,"308,846",7.8
Bronx County, NY (36005),95,"1,455,720",6.5
Broome County, NY (36007),25,"195,334",12.8
Cattaraugus County, NY (36009),10,"77,677",Unreliable
Cayuga County, NY (36011),10,"77,861",Unreliable
Chautauqua County, NY (36013),19,"129,504",Unreliable
Chemung County, NY (36015),14,"86,322",Unreliable
Clinton County, NY (36019),12,"81,073",Unreliable
Columbia County, NY (36021),16,"60,989",Unreliable
Delaware County, NY (36025),12,"45,523",Unreliable
Dutchess County, NY (36027),31,"294,473",10.5
