County,State(Code),Deaths,Population,Crude Rate Per 100000
Robeson County, NC (37155),24,"133,235",18
Rockingham County, NC (37157),25,"91,393",27.4
Rowan County, NC (37159),21,"139,933",15
Sampson County, NC (37163),11,"63,124",Unreliable
Surry County, NC (37171),13,"72,113",Unreliable
Union County, NC (37179),11,"226,606",Unreliable
Wake County, NC (37183),74,"1,046,791",7.1
Wayne County, NC (37191),21,"124,150",16.9
Wilson County, NC (37195),16,"81,661",Unreliable
Burleigh County, ND (38015),12,"94,487",Unreliable
Cass County, ND (38017),24,"175,249",13.7
Allen County, OH (39003),15,"103,742",Unreliable
Ashland County, OH (39005),14,"53,652",Unreliable
Belmont County, OH (39013),12,"68,673",Unreliable
Butler County, OH (39017),30,"377,537",7.9
Clark County, OH (39023),31,"134,786",23
Clermont County, OH (39025),12,"203,022",Unreliable
Columbiana County, OH (39029),16,"103,685",Unreliable
Crawford County, OH (39033),11,"42,083",Unreliable
Cuyahoga County, OH (39035),173,"1,249,352",13.8
Erie County, OH (39043),17,"75,107",Unreliable
Fairfield County, OH (39045),24,"152,597",15.7
Franklin County, OH (39049),116,"1,264,518",9.2
Greene County, OH (39057),14,"164,765",Unreliable
Hamilton County, OH (39061),79,"809,099",9.8
Huron County, OH (39077),21,"58,439",35.9
Jefferson County, OH (39081),17,"66,704",Unreliable
Lake County, OH (39085),20,"228,614",8.7
Licking County, OH (39089),28,"172,198",16.3
Lorain County, OH (39093),38,"306,365",12.4
Lucas County, OH (39095),41,"432,488",9.5
Mahoning County, OH (39099),28,"230,008",12.2
Marion County, OH (39101),21,"65,096",32.3
Medina County, OH (39103),14,"177,221",Unreliable
Montgomery County, OH (39113),49,"531,239",9.2
Portage County, OH (39133),14,"161,921",Unreliable
Richland County, OH (39139),29,"121,107",23.9
Scioto County, OH (39145),13,"76,088",Unreliable
Seneca County, OH (39147),16,"55,353",Unreliable
Shelby County, OH (39149),21,"48,623",43.2
Stark County, OH (39151),49,"373,612",13.1
Summit County, OH (39153),104,"540,300",19.2
Trumbull County, OH (39155),26,"201,825",12.9
Tuscarawas County, OH (39157),23,"92,420",24.9
Warren County, OH (39165),12,"227,063",Unreliable
Washington County, OH (39167),10,"60,610",Unreliable
Wayne County, OH (39169),14,"116,470",Unreliable
Canadian County, OK (40017),13,"136,532",Unreliable
Carter County, OK (40019),11,"48,556",Unreliable
Cleveland County, OK (40027),16,"278,655",Unreliable
Comanche County, OK (40031),12,"122,136",Unreliable
Creek County, OK (40037),10,"71,312",Unreliable
Garfield County, OK (40047),11,"62,603",Unreliable
Kingfisher County, OK (40073),10,"15,638",Unreliable
McClain County, OK (40087),10,"38,682",Unreliable
Oklahoma County, OK (40109),102,"782,970",13
Payne County, OK (40119),12,"81,131",Unreliable
Pottawatomie County, OK (40125),12,"72,290",Unreliable
Stephens County, OK (40137),10,"44,090",Unreliable
Tulsa County, OK (40143),59,"642,940",9.2
Washington County, OK (40147),11,"52,087",Unreliable
Benton County, OR (41003),14,"89,385",Unreliable
Clackamas County, OR (41005),47,"408,062",11.5
Coos County, OR (41011),14,"63,761",Unreliable
Deschutes County, OR (41017),13,"181,307",Unreliable
Douglas County, OR (41019),23,"108,457",21.2
Jackson County, OR (41029),36,"216,527",16.6
Josephine County, OR (41033),31,"85,904",36.1
Klamath County, OR (41035),13,"66,443",Unreliable
Lane County, OR (41039),66,"369,519",17.9
Lincoln County, OR (41041),11,"47,806",Unreliable
Linn County, OR (41043),28,"122,849",22.8
Marion County, OR (41047),47,"336,316",14
Multnomah County, OR (41051),98,"799,766",12.3
Polk County, OR (41053),12,"81,823",Unreliable
Washington County, OR (41067),44,"582,779",7.6
Adams County, PA (42001),11,"102,180",Unreliable
Allegheny County, PA (42003),100,"1,225,365",8.2
Beaver County, PA (42007),21,"167,429",12.5
Berks County, PA (42011),46,"414,812",11.1
Blair County, PA (42013),14,"124,650",Unreliable
Bucks County, PA (42017),40,"626,399",6.4
Butler County, PA (42019),22,"186,847",11.8
Cambria County, PA (42021),36,"134,732",26.7
Carbon County, PA (42025),12,"63,594",Unreliable
Chester County, PA (42029),21,"516,312",4.1
Cumberland County, PA (42041),19,"248,506",Unreliable
Dauphin County, PA (42043),22,"273,707",8
Delaware County, PA (42045),37,"563,402",6.6
Erie County, PA (42049),15,"276,207",Unreliable
Fayette County, PA (42051),33,"132,733",24.9
Franklin County, PA (42055),19,"153,851",Unreliable
Jefferson County, PA (42065),10,"44,073",Unreliable
Lackawanna County, PA (42069),26,"211,321",12.3
Lancaster County, PA (42071),37,"538,500",6.9
Lawrence County, PA (42073),17,"87,294",Unreliable
Lehigh County, PA (42077),28,"363,147",7.7
Luzerne County, PA (42079),33,"316,383",10.4
Lycoming County, PA (42081),19,"115,248",Unreliable
Mercer County, PA (42085),16,"112,913",Unreliable
Monroe County, PA (42089),12,"166,098",Unreliable
Montgomery County, PA (42091),52,"821,725",6.3
Northampton County, PA (42095),30,"302,294",9.9
Philadelphia County, PA (42101),126,"1,567,872",8
