County,State(Code),Deaths,Population,Crude Rate Per 100000
Bedford County, VA (51019),12,"77,960",Unreliable
Chesterfield County, VA (51041),14,"339,009",Unreliable
Fairfax County, VA (51059),64,"1,138,652",5.6
Franklin County, VA (51067),12,"56,069",Unreliable
Frederick County, VA (51069),12,"84,421",Unreliable
Henrico County, VA (51087),11,"326,501",Unreliable
James City County, VA (51095),11,"74,404",Unreliable
Loudoun County, VA (51107),18,"385,945",Unreliable
Shenandoah County, VA (51171),11,"43,175",Unreliable
Spotsylvania County, VA (51177),15,"132,010",Unreliable
Chesapeake city, VA (51550),17,"237,940",Unreliable
Lynchburg city, VA (51680),15,"80,212",Unreliable
Norfolk city, VA (51710),16,"245,115",Unreliable
Richmond city, VA (51760),18,"223,170",Unreliable
Roanoke city, VA (51770),19,"99,660",Unreliable
Virginia Beach city, VA (51810),22,"452,602",4.9
Benton County, WA (53005),12,"193,686",Unreliable
Clark County, WA (53011),22,"467,018",4.7
Grant County, WA (53025),12,"93,546",Unreliable
King County, WA (53033),147,"2,149,970",6.8
Kitsap County, WA (53035),13,"264,811",Unreliable
Pierce County, WA (53053),76,"861,312",8.8
Skagit County, WA (53057),15,"123,681",Unreliable
Snohomish County, WA (53061),61,"787,620",7.7
Spokane County, WA (53063),55,"499,072",11
Thurston County, WA (53067),20,"275,222",7.3
Yakima County, WA (53077),13,"249,636",Unreliable
Kanawha County, WV (54039),20,"186,241",10.7
Brown County, WI (55009),16,"260,401",Unreliable
Dane County, WI (55025),29,"531,273",5.5
La Crosse County, WI (55063),11,"118,122",Unreliable
Marathon County, WI (55073),11,"135,603",Unreliable
Milwaukee County, WI (55079),57,"951,448",6
Outagamie County, WI (55087),12,"184,526",Unreliable
Ozaukee County, WI (55089),12,"88,314",Unreliable
Racine County, WI (55101),20,"195,140",10.2
Rock County, WI (55105),16,"161,620",Unreliable
Sheboygan County, WI (55117),22,"115,427",19.1
Waukesha County, WI (55133),38,"398,424",9.5
Winnebago County, WI (55139),14,"169,886",Unreliable
Wood County, WI (55141),12,"73,107",Unreliable
Natrona County, WY (56025),12,"81,039",Unreliable
