County,State(Code),Deaths,Population,Crude Rate Per 100000
Clay County, MO (29047),21,"239,085",8.8
Cole County, MO (29051),17,"76,631",Unreliable
Dunklin County, MO (29069),13,"30,535",Unreliable
Franklin County, MO (29071),30,"102,838",29.2
Greene County, MO (29077),56,"288,690",19.4
Jackson County, MO (29095),93,"691,801",13.4
Jasper County, MO (29097),31,"119,111",26
Jefferson County, MO (29099),48,"224,226",21.4
Laclede County, MO (29105),13,"35,490",Unreliable
Lincoln County, MO (29113),11,"55,267",Unreliable
Marion County, MO (29127),11,"28,894",Unreliable
Newton County, MO (29145),12,"58,694",Unreliable
Pettis County, MO (29159),15,"42,213",Unreliable
St. Charles County, MO (29183),60,"390,918",15.3
St. Louis County, MO (29189),222,"998,581",22.2
Stone County, MO (29209),10,"31,047",Unreliable
St. Louis city, MO (29510),42,"311,404",13.5
Cascade County, MT (30013),16,"81,755",Unreliable
Flathead County, MT (30029),15,"98,082",Unreliable
Gallatin County, MT (30031),11,"104,502",Unreliable
Yellowstone County, MT (30111),24,"158,437",15.1
Adams County, NE (31001),19,"31,684",Unreliable
Buffalo County, NE (31019),12,"49,383",Unreliable
Douglas County, NE (31055),85,"554,995",15.3
Gage County, NE (31067),10,"21,799",Unreliable
Lancaster County, NE (31109),39,"309,637",12.6
Madison County, NE (31119),12,"35,015",Unreliable
Sarpy County, NE (31153),24,"179,023",13.4
Clark County, NV (32003),416,"2,155,664",19.3
Elko County, NV (32007),14,"52,168",Unreliable
Lyon County, NV (32019),13,"53,179",Unreliable
Nye County, NV (32023),14,"43,423",Unreliable
Washoe County, NV (32031),75,"453,616",16.5
Carson City, NV (32510),10,"54,742",Unreliable
Cheshire County, NH (33005),24,"75,774",31.7
Grafton County, NH (33009),10,"88,888",Unreliable
Hillsborough County, NH (33011),68,"407,761",16.7
Merrimack County, NH (33013),16,"148,582",Unreliable
Rockingham County, NH (33015),37,"303,251",12.2
Strafford County, NH (33017),18,"127,428",Unreliable
Atlantic County, NJ (34001),41,"270,991",15.1
Bergen County, NJ (34003),153,"939,151",16.3
Burlington County, NJ (34005),68,"449,284",15.1
Camden County, NJ (34007),80,"510,150",15.7
Cape May County, NJ (34009),14,"94,430",Unreliable
Cumberland County, NJ (34011),24,"153,797",15.6
Essex County, NJ (34013),99,"796,914",12.4
Gloucester County, NJ (34015),56,"292,330",19.2
Hudson County, NJ (34017),58,"677,983",8.6
Hunterdon County, NJ (34019),15,"124,676",Unreliable
Mercer County, NJ (34021),32,"371,023",8.6
Middlesex County, NJ (34023),101,"837,073",12.1
Monmouth County, NJ (34025),75,"625,846",12
Morris County, NJ (34027),60,"498,423",12
Ocean County, NJ (34029),107,"592,497",18.1
Passaic County, NJ (34031),58,"507,945",11.4
Salem County, NJ (34033),19,"63,436",Unreliable
Somerset County, NJ (34035),49,"333,751",14.7
Sussex County, NJ (34037),17,"142,522",Unreliable
Union County, NJ (34039),65,"555,630",11.7
Warren County, NJ (34041),17,"106,617",Unreliable
Bernalillo County, NM (35001),105,"676,953",15.5
Chaves County, NM (35005),16,"65,282",Unreliable
Dona Ana County, NM (35013),32,"214,207",14.9
McKinley County, NM (35031),25,"74,923",33.4
Otero County, NM (35035),14,"65,410",Unreliable
Rio Arriba County, NM (35039),13,"40,040",Unreliable
Sandoval County, NM (35043),30,"142,025",21.1
Santa Fe County, NM (35049),17,"148,651",Unreliable
Valencia County, NM (35061),12,"75,626",Unreliable
Albany County, NY (36001),62,"308,846",20.1
Allegany County, NY (36003),13,"47,077",Unreliable
Bronx County, NY (36005),405,"1,455,720",27.8
Broome County, NY (36007),43,"195,334",22
Cattaraugus County, NY (36009),11,"77,677",Unreliable
Cayuga County, NY (36011),28,"77,861",36
Chautauqua County, NY (36013),22,"129,504",17
Chemung County, NY (36015),20,"86,322",23.2
Chenango County, NY (36017),13,"48,579",Unreliable
Columbia County, NY (36021),21,"60,989",34.4
Cortland County, NY (36023),25,"48,070",52
Dutchess County, NY (36027),61,"294,473",20.7
Erie County, NY (36029),206,"921,046",22.4
Fulton County, NY (36035),16,"53,828",Unreliable
Genesee County, NY (36037),14,"58,482",Unreliable
Greene County, NY (36039),11,"47,508",Unreliable
Herkimer County, NY (36043),15,"62,613",Unreliable
Jefferson County, NY (36045),10,"114,006",Unreliable
Kings County, NY (36047),651,"2,629,150",24.8
Livingston County, NY (36051),17,"64,257",Unreliable
Madison County, NY (36053),13,"71,329",Unreliable
Monroe County, NY (36055),180,"747,727",24.1
Montgomery County, NY (36057),20,"49,276",40.6
