County,State(Code),Deaths,Population,Crude Rate Per 100000
Jefferson Parish, LA (22051),118,"436,523",27
Lafayette Parish, LA (22055),26,"241,398",10.8
Lafourche Parish, LA (22057),21,"98,305",21.4
Livingston Parish, LA (22063),20,"140,138",14.3
Morehouse Parish, LA (22067),15,"26,071",Unreliable
Orleans Parish, LA (22071),111,"391,495",28.4
Ouachita Parish, LA (22073),29,"156,983",18.5
Rapides Parish, LA (22079),39,"132,424",29.5
St. Charles Parish, LA (22089),13,"52,923",Unreliable
St. John the Baptist Parish, LA (22095),12,"43,631",Unreliable
St. Landry Parish, LA (22097),30,"83,883",35.8
St. Mary Parish, LA (22101),17,"52,093",Unreliable
St. Tammany Parish, LA (22103),73,"253,602",28.8
Tangipahoa Parish, LA (22105),31,"130,710",23.7
Terrebonne Parish, LA (22109),21,"113,220",18.5
Vermilion Parish, LA (22113),15,"60,205",Unreliable
Washington Parish, LA (22117),30,"46,310",64.8
Androscoggin County, ME (23001),11,"107,319",Unreliable
Aroostook County, ME (23003),17,"67,959",Unreliable
Cumberland County, ME (23005),60,"292,041",20.5
Hancock County, ME (23009),10,"54,419",Unreliable
Kennebec County, ME (23011),17,"120,569",Unreliable
Oxford County, ME (23017),11,"57,217",Unreliable
Penobscot County, ME (23019),36,"151,806",23.7
Somerset County, ME (23025),10,"50,915",Unreliable
York County, ME (23031),37,"202,343",18.3
Allegany County, MD (24001),18,"72,130",Unreliable
Anne Arundel County, MD (24003),60,"568,346",10.6
Baltimore County, MD (24005),127,"831,026",15.3
Calvert County, MD (24009),10,"91,251",Unreliable
Carroll County, MD (24013),23,"167,656",13.7
Cecil County, MD (24015),17,"102,603",Unreliable
Charles County, MD (24017),14,"157,705",Unreliable
Frederick County, MD (24021),38,"247,591",15.3
Harford County, MD (24025),39,"251,032",15.5
Howard County, MD (24027),30,"317,233",9.5
Montgomery County, MD (24031),97,"1,043,863",9.3
Prince George's County, MD (24033),118,"908,049",13
St. Mary's County, MD (24037),10,"112,587",Unreliable
Talbot County, MD (24041),10,"37,278",Unreliable
Washington County, MD (24043),23,"150,292",15.3
Wicomico County, MD (24045),31,"102,577",30.2
Worcester County, MD (24047),16,"51,444",Unreliable
Baltimore city, MD (24510),110,"614,664",17.9
Barnstable County, MA (25001),45,"214,276",21
Berkshire County, MA (25003),26,"126,903",20.5
Bristol County, MA (25005),107,"558,324",19.2
Essex County, MA (25009),145,"779,018",18.6
Hampden County, MA (25013),104,"468,467",22.2
Hampshire County, MA (25015),26,"161,816",16.1
Middlesex County, MA (25017),239,"1,589,774",15
Norfolk County, MA (25021),113,"697,181",16.2
Plymouth County, MA (25023),87,"513,565",16.9
Suffolk County, MA (25025),101,"784,230",12.9
Worcester County, MA (25027),133,"819,589",16.2
Allegan County, MI (26005),10,"115,548",Unreliable
Bay County, MI (26017),27,"104,747",25.8
Berrien County, MI (26021),45,"154,010",29.2
Branch County, MI (26023),11,"43,427",Unreliable
Calhoun County, MI (26025),26,"134,386",19.3
Clare County, MI (26035),14,"30,358",Unreliable
Delta County, MI (26041),11,"36,202",Unreliable
Eaton County, MI (26045),13,"109,160",Unreliable
Genesee County, MI (26049),128,"408,615",31.3
Gladwin County, MI (26051),12,"25,122",Unreliable
Grand Traverse County, MI (26055),11,"92,084",Unreliable
Gratiot County, MI (26057),11,"41,202",Unreliable
Ingham County, MI (26065),29,"288,051",10.1
Isabella County, MI (26073),18,"71,282",Unreliable
Jackson County, MI (26075),28,"158,460",17.7
Kalamazoo County, MI (26077),39,"261,654",14.9
Kent County, MI (26081),61,"642,173",9.5
Lapeer County, MI (26087),28,"88,340",31.7
Lenawee County, MI (26091),25,"98,504",25.4
Livingston County, MI (26093),13,"188,624",Unreliable
Macomb County, MI (26099),142,"867,730",16.4
Marquette County, MI (26103),11,"66,435",Unreliable
Mecosta County, MI (26107),11,"43,221",Unreliable
Midland County, MI (26111),20,"83,462",24
Monroe County, MI (26115),26,"149,208",17.4
Montcalm County, MI (26117),12,"62,974",Unreliable
Muskegon County, MI (26121),29,"173,408",16.7
Oakland County, MI (26125),212,"1,243,970",17
Ottawa County, MI (26139),29,"282,250",10.3
