County,State(Code),Deaths,Population,Crude Rate Per 100000
Madison County, IL (17119),159,"265,759",59.8
Marion County, IL (17121),34,"38,140",89.1
Massac County, IL (17127),13,"14,658",Unreliable
Menard County, IL (17129),14,"12,516",Unreliable
Monroe County, IL (17133),17,"34,068",Unreliable
Montgomery County, IL (17135),20,"28,952",69.1
Morgan County, IL (17137),18,"34,277",Unreliable
Ogle County, IL (17141),26,"51,273",50.7
Peoria County, IL (17143),90,"185,006",48.6
Perry County, IL (17145),16,"21,357",Unreliable
Piatt County, IL (17147),10,"16,560",Unreliable
Pike County, IL (17149),11,"15,950",Unreliable
Randolph County, IL (17157),24,"32,621",73.6
Richland County, IL (17159),12,"15,930",Unreliable
Rock Island County, IL (17161),57,"144,784",39.4
St. Clair County, IL (17163),129,"262,759",49.1
Saline County, IL (17165),17,"24,307",Unreliable
Sangamon County, IL (17167),96,"197,499",48.6
Stephenson County, IL (17177),33,"45,624",72.3
Tazewell County, IL (17179),59,"134,385",43.9
Union County, IL (17181),11,"17,212",Unreliable
Vermilion County, IL (17183),45,"78,111",57.6
Washington County, IL (17189),14,"14,154",Unreliable
Wayne County, IL (17191),13,"16,396",Unreliable
Whiteside County, IL (17195),28,"56,536",49.5
Will County, IL (17197),260,"689,529",37.7
Williamson County, IL (17199),38,"67,560",56.2
Winnebago County, IL (17201),209,"285,873",73.1
Adams County, IN (18001),13,"35,232",Unreliable
Allen County, IN (18003),186,"370,404",50.2
Bartholomew County, IN (18005),36,"81,402",44.2
Blackford County, IN (18009),15,"12,149",Unreliable
Boone County, IN (18011),29,"64,653",44.9
Cass County, IN (18017),17,"37,946",Unreliable
Clark County, IN (18019),81,"116,031",69.8
Clay County, IN (18021),16,"26,309",Unreliable
Clinton County, IN (18023),19,"32,457",Unreliable
Daviess County, IN (18027),19,"32,969",Unreliable
Dearborn County, IN (18029),28,"49,331",56.8
Decatur County, IN (18031),20,"26,598",75.2
De Kalb County, IN (18033),17,"42,746",Unreliable
Delaware County, IN (18035),69,"115,603",59.7
Dubois County, IN (18037),21,"42,552",49.4
Elkhart County, IN (18039),75,"203,781",36.8
Fayette County, IN (18041),28,"23,331",120
Floyd County, IN (18043),35,"76,990",45.5
Franklin County, IN (18047),13,"22,715",Unreliable
Fulton County, IN (18049),17,"20,139",Unreliable
Gibson County, IN (18051),16,"33,703",Unreliable
Grant County, IN (18053),51,"66,937",76.2
Greene County, IN (18055),14,"32,211",Unreliable
Hamilton County, IN (18057),91,"316,373",28.8
Hancock County, IN (18059),34,"73,717",46.1
Harrison County, IN (18061),35,"39,826",87.9
Hendricks County, IN (18063),43,"160,610",26.8
Henry County, IN (18065),28,"48,521",57.7
Howard County, IN (18067),37,"82,568",44.8
Huntington County, IN (18069),31,"36,400",85.2
Jackson County, IN (18071),26,"44,013",59.1
Jasper County, IN (18073),17,"33,433",Unreliable
Jay County, IN (18075),10,"21,046",Unreliable
Jefferson County, IN (18077),15,"32,418",Unreliable
Jennings County, IN (18079),19,"27,758",Unreliable
Johnson County, IN (18081),42,"151,982",27.6
Knox County, IN (18083),26,"37,744",68.9
Kosciusko County, IN (18085),33,"79,092",41.7
Lake County, IN (18089),249,"485,846",51.3
La Porte County, IN (18091),61,"110,015",55.4
Lawrence County, IN (18093),15,"45,518",Unreliable
Madison County, IN (18095),98,"129,296",75.8
Marion County, IN (18097),596,"941,229",63.3
Marshall County, IN (18099),21,"46,556",45.1
Miami County, IN (18103),17,"35,883",Unreliable
Monroe County, IN (18105),52,"145,496",35.7
Montgomery County, IN (18107),19,"38,074",Unreliable
Morgan County, IN (18109),42,"69,698",60.3
Newton County, IN (18111),16,"13,924",Unreliable
Noble County, IN (18113),27,"47,638",56.7
Orange County, IN (18117),12,"19,335",Unreliable
Owen County, IN (18119),12,"20,840",Unreliable
Perry County, IN (18123),12,"18,966",Unreliable
Porter County, IN (18127),101,"167,791",60.2
Posey County, IN (18129),12,"25,476",Unreliable
Pulaski County, IN (18131),10,"12,660",Unreliable
Putnam County, IN (18133),15,"37,436",Unreliable
Randolph County, IN (18135),24,"25,082",95.7
Ripley County, IN (18137),20,"28,846",69.3
Rush County, IN (18139),15,"16,649",Unreliable
St. Joseph County, IN (18141),133,"269,141",49.4
Scott County, IN (18143),33,"23,730",139.1
