County,State (Code),Deaths,Population,Crude Rate Per 100000
Ocean County, NJ (34029),62,"592,497",10.5
Passaic County, NJ (34031),36,"507,945",7.1
Somerset County, NJ (34035),30,"333,751",9
Sussex County, NJ (34037),11,"142,522",Unreliable
Union County, NJ (34039),38,"555,630",6.8
Warren County, NJ (34041),17,"106,617",Unreliable
Bernalillo County, NM (35001),74,"676,953",10.9
Dona Ana County, NM (35013),18,"214,207",Unreliable
Sandoval County, NM (35043),10,"142,025",Unreliable
San Juan County, NM (35045),13,"115,079",Unreliable
Santa Fe County, NM (35049),14,"148,651",Unreliable
Albany County, NY (36001),32,"308,846",10.4
Bronx County, NY (36005),61,"1,455,720",4.2
Broome County, NY (36007),18,"195,334",Unreliable
Chautauqua County, NY (36013),12,"129,504",Unreliable
Dutchess County, NY (36027),26,"294,473",8.8
Erie County, NY (36029),94,"921,046",10.2
Kings County, NY (36047),90,"2,629,150",3.4
Monroe County, NY (36055),60,"747,727",8
Nassau County, NY (36059),115,"1,361,500",8.4
New York County, NY (36061),117,"1,643,734",7.1
Niagara County, NY (36063),27,"211,758",12.8
Oneida County, NY (36065),22,"231,190",9.5
Onondaga County, NY (36067),44,"466,194",9.4
Ontario County, NY (36069),16,"109,828",Unreliable
Orange County, NY (36071),26,"379,210",6.9
Queens County, NY (36081),101,"2,333,054",4.3
Rensselaer County, NY (36083),11,"160,070",Unreliable
Richmond County, NY (36085),29,"476,015",6.1
Rockland County, NY (36087),20,"326,780",6.1
Saratoga County, NY (36091),10,"227,053",Unreliable
Schenectady County, NY (36093),24,"154,553",15.5
Suffolk County, NY (36103),130,"1,492,583",8.7
Ulster County, NY (36111),22,"179,225",12.3
Warren County, NY (36113),18,"64,567",Unreliable
Washington County, NY (36115),10,"61,800",Unreliable
Westchester County, NY (36119),64,"974,542",6.6
Alamance County, NC (37001),11,"159,688",Unreliable
Brunswick County, NC (37019),14,"126,953",Unreliable
Buncombe County, NC (37021),31,"256,088",12.1
Cabarrus County, NC (37025),12,"201,590",Unreliable
Catawba County, NC (37035),18,"156,459",Unreliable
Chatham County, NC (37037),13,"72,243",Unreliable
Cleveland County, NC (37045),16,"97,144",Unreliable
Craven County, NC (37049),11,"103,445",Unreliable
Cumberland County, NC (37051),11,"327,127",Unreliable
Davidson County, NC (37057),13,"164,926",Unreliable
Durham County, NC (37063),28,"306,212",9.1
Forsyth County, NC (37067),44,"371,511",11.8
Gaston County, NC (37071),26,"216,965",12
Guilford County, NC (37081),51,"521,330",9.8
Harnett County, NC (37085),12,"130,881",Unreliable
Iredell County, NC (37097),20,"172,916",11.6
Johnston County, NC (37101),19,"191,450",Unreliable
Mecklenburg County, NC (37119),49,"1,054,835",4.6
Moore County, NC (37125),14,"95,776",Unreliable
New Hanover County, NC (37129),23,"223,483",10.3
Orange County, NC (37135),13,"141,796",Unreliable
Randolph County, NC (37151),12,"143,416",Unreliable
Rowan County, NC (37159),11,"139,933",Unreliable
Rutherford County, NC (37161),16,"66,421",Unreliable
Stokes County, NC (37169),10,"46,097",Unreliable
Transylvania County, NC (37175),11,"33,482",Unreliable
Union County, NC (37179),25,"226,606",11
Wake County, NC (37183),72,"1,046,791",6.9
Wayne County, NC (37191),16,"124,150",Unreliable
Wilson County, NC (37195),11,"81,661",Unreliable
Cass County, ND (38017),15,"175,249",Unreliable
Ward County, ND (38101),11,"70,210",Unreliable
Butler County, OH (39017),27,"377,537",7.2
Clark County, OH (39023),14,"134,786",Unreliable
Clermont County, OH (39025),15,"203,022",Unreliable
Columbiana County, OH (39029),11,"103,685",Unreliable
Cuyahoga County, OH (39035),123,"1,249,352",9.8
Delaware County, OH (39041),18,"196,463",Unreliable
Erie County, OH (39043),16,"75,107",Unreliable
Fairfield County, OH (39045),17,"152,597",Unreliable
Franklin County, OH (39049),142,"1,264,518",11.2
