County,State (Code),Deaths,Population,Crude Rate Per 100000
Henderson County, KY (21101),27,"46,253",58.4
Hopkins County, KY (21107),18,"45,904",Unreliable
Jefferson County, KY (21111),233,"765,352",30.4
Johnson County, KY (21115),16,"22,978",Unreliable
Kenton County, KY (21117),68,"164,945",41.2
Knox County, KY (21121),32,"31,687",101
Laurel County, KY (21125),17,"60,250",Unreliable
Lawrence County, KY (21127),10,"15,863",Unreliable
Letcher County, KY (21133),18,"22,773",Unreliable
Logan County, KY (21141),19,"26,593",Unreliable
Lyon County, KY (21143),12,"8,069",Unreliable
McCracken County, KY (21145),19,"65,162",Unreliable
McCreary County, KY (21147),11,"17,511",Unreliable
Madison County, KY (21151),14,"89,547",Unreliable
Marion County, KY (21155),10,"19,205",Unreliable
Mason County, KY (21161),13,"17,190",Unreliable
Mercer County, KY (21167),12,"21,477",Unreliable
Morgan County, KY (21175),14,"13,298",Unreliable
Nelson County, KY (21179),12,"45,559",Unreliable
Perry County, KY (21193),11,"27,343",Unreliable
Pike County, KY (21195),25,"60,555",41.3
Pulaski County, KY (21199),46,"63,956",71.9
Russell County, KY (21207),14,"17,722",Unreliable
Scott County, KY (21209),12,"53,972",Unreliable
Taylor County, KY (21217),19,"25,397",Unreliable
Union County, KY (21225),12,"14,880",Unreliable
Warren County, KY (21227),17,"125,532",Unreliable
Whitley County, KY (21235),14,"36,096",Unreliable
Acadia Parish, LA (22001),17,"62,645",Unreliable
Avoyelles Parish, LA (22009),12,"41,117",Unreliable
Bossier Parish, LA (22015),20,"126,057",15.9
Caddo Parish, LA (22017),198,"248,851",79.6
Calcasieu Parish, LA (22019),40,"200,601",19.9
Concordia Parish, LA (22029),18,"19,920",Unreliable
East Baton Rouge Parish, LA (22033),27,"447,037",6
Evangeline Parish, LA (22039),16,"33,709",Unreliable
Iberia Parish, LA (22045),10,"73,273",Unreliable
Iberville Parish, LA (22047),19,"32,920",Unreliable
Jefferson Parish, LA (22051),112,"436,523",25.7
Jefferson Davis Parish, LA (22053),19,"31,413",Unreliable
Lafayette Parish, LA (22055),62,"241,398",25.7
Lafourche Parish, LA (22057),43,"98,305",43.7
LaSalle Parish, LA (22059),10,"15,052",Unreliable
Lincoln Parish, LA (22061),35,"47,745",73.3
Livingston Parish, LA (22063),14,"140,138",Unreliable
Morehouse Parish, LA (22067),23,"26,071",88.2
Natchitoches Parish, LA (22069),10,"39,162",Unreliable
Orleans Parish, LA (22071),60,"391,495",15.3
Ouachita Parish, LA (22073),169,"156,983",107.7
Rapides Parish, LA (22079),14,"132,424",Unreliable
St. Bernard Parish, LA (22087),14,"45,688",Unreliable
St. Landry Parish, LA (22097),24,"83,883",28.6
St. Mary Parish, LA (22101),31,"52,093",59.5
St. Tammany Parish, LA (22103),32,"253,602",12.6
Tangipahoa Parish, LA (22105),28,"130,710",21.4
Terrebonne Parish, LA (22109),32,"113,220",28.3
Union Parish, LA (22111),19,"22,487",Unreliable
Vernon Parish, LA (22115),12,"50,569",Unreliable
Washington Parish, LA (22117),15,"46,310",Unreliable
Webster Parish, LA (22119),23,"39,710",57.9
West Baton Rouge Parish, LA (22121),10,"25,795",Unreliable
Androscoggin County, ME (23001),33,"107,319",30.7
Aroostook County, ME (23003),37,"67,959",54.4
Cumberland County, ME (23005),63,"292,041",21.6
Franklin County, ME (23007),12,"30,001",Unreliable
Hancock County, ME (23009),19,"54,419",Unreliable
Kennebec County, ME (23011),45,"120,569",37.3
Knox County, ME (23013),15,"39,744",Unreliable
Lincoln County, ME (23015),18,"34,216",Unreliable
Oxford County, ME (23017),36,"57,217",62.9
Penobscot County, ME (23019),64,"151,806",42.2
Somerset County, ME (23025),27,"50,915",53
Washington County, ME (23029),12,"31,450",Unreliable
York County, ME (23031),65,"202,343",32.1
Allegany County, MD (24001),18,"72,130",Unreliable
Anne Arundel County, MD (24003),121,"568,346",21.3
Baltimore County, MD (24005),224,"831,026",27
Calvert County, MD (24009),14,"91,251",Unreliable
Carroll County, MD (24013),36,"167,656",21.5
Cecil County, MD (24015),23,"102,603",22.4
Charles County, MD (24017),39,"157,705",24.7
Dorchester County, MD (24019),18,"32,258",Unreliable
Frederick County, MD (24021),46,"247,591",18.6
Garrett County, MD (24023),15,"29,425",Unreliable
Harford County, MD (24025),56,"251,032",22.3
Howard County, MD (24027),25,"317,233",7.9
Montgomery County, MD (24031),145,"1,043,863",13.9
Prince George's County, MD (24033),224,"908,049",24.7
Queen Anne's County, MD (24035),10,"48,929",Unreliable
St. Mary's County, MD (24037),19,"112,587",Unreliable
Washington County, MD (24043),54,"150,292",35.9
Wicomico County, MD (24045),22,"102,577",21.4
Worcester County, MD (24047),21,"51,444",40.8
Baltimore city, MD (24510),201,"614,664",32.7
Barnstable County, MA (25001),57,"214,276",26.6
Berkshire County, MA (25003),36,"126,903",28.4
Bristol County, MA (25005),131,"558,324",23.5
Essex County, MA (25009),154,"779,018",19.8
Franklin County, MA (25011),10,"70,382",Unreliable
Hampden County, MA (25013),96,"468,467",20.5
Hampshire County, MA (25015),21,"161,816",13
Middlesex County, MA (25017),272,"1,589,774",17.1
Norfolk County, MA (25021),110,"697,181",15.8
Plymouth County, MA (25023),77,"513,565",15
Suffolk County, MA (25025),145,"784,230",18.5
Worcester County, MA (25027),153,"819,589",18.7
Allegan County, MI (26005),27,"115,548",23.4
Alpena County, MI (26007),12,"28,704",Unreliable
Barry County, MI (26015),24,"59,702",40.2
Bay County, MI (26017),29,"104,747",27.7
Berrien County, MI (26021),66,"154,010",42.9
Branch County, MI (26023),10,"43,427",Unreliable
Calhoun County, MI (26025),43,"134,386",32
Cass County, MI (26027),10,"51,599",Unreliable
Chippewa County, MI (26033),12,"37,724",Unreliable
Clare County, MI (26035),13,"30,358",Unreliable
Clinton County, MI (26037),24,"77,888",30.8
Delta County, MI (26041),12,"36,202",Unreliable
Eaton County, MI (26045),31,"109,160",28.4
Genesee County, MI (26049),157,"408,615",38.4
Gladwin County, MI (26051),15,"25,122",Unreliable
Grand Traverse County, MI (26055),17,"92,084",Unreliable
Hillsdale County, MI (26059),12,"45,774",Unreliable
Houghton County, MI (26061),14,"36,555",Unreliable
Huron County, MI (26063),10,"31,481",Unreliable
Ingham County, MI (26065),70,"288,051",24.3
Ionia County, MI (26067),16,"64,232",Unreliable
Isabella County, MI (26073),15,"71,282",Unreliable
Jackson County, MI (26075),46,"158,460",29
Kalamazoo County, MI (26077),72,"261,654",27.5
Kalkaska County, MI (26079),13,"17,263",Unreliable
Kent County, MI (26081),76,"642,173",11.8
Lapeer County, MI (26087),25,"88,340",28.3
Lenawee County, MI (26091),38,"98,504",38.6
Livingston County, MI (26093),29,"188,624",15.4
Macomb County, MI (26099),313,"867,730",36.1
Manistee County, MI (26101),10,"24,373",Unreliable
Marquette County, MI (26103),22,"66,435",33.1
Mason County, MI (26105),10,"28,876",Unreliable
Midland County, MI (26111),29,"83,462",34.7
Monroe County, MI (26115),38,"149,208",25.5
Montcalm County, MI (26117),22,"62,974",34.9
